borough,neighborhood,room type,price,service fee,review rate number
Bronx,Allerton,Entire home/apt,572.2857142857143,114.52380952380952,3.238095238095238
Bronx,Allerton,Private room,709.2692307692307,141.8846153846154,3.3461538461538463
Bronx,Baychester,Entire home/apt,510.3076923076923,101.92307692307692,3.6923076923076925
Bronx,Baychester,Private room,535.125,107.1875,3.375
Bronx,Belmont,Entire home/apt,799.3333333333334,159.77777777777777,2.888888888888889
Bronx,Belmont,Private room,597.6875,119.46875,3.46875
Bronx,Belmont,Shared room,946.6666666666666,189.33333333333334,2.3333333333333335
Bronx,Bronxdale,Entire home/apt,673.2,134.8,3.4
Bronx,Bronxdale,Private room,516.2666666666667,103.4,3.1666666666666665
Bronx,Bronxdale,Shared room,700.0,140.0,3.0
Bronx,Castle Hill,Entire home/apt,308.0,61.625,2.75
Bronx,Castle Hill,Private room,652.125,130.5,2.875
Bronx,City Island,Entire home/apt,614.8148148148148,122.92592592592592,3.6296296296296298
Bronx,City Island,Private room,709.9285714285714,141.92857142857142,3.857142857142857
Bronx,Claremont Village,Entire home/apt,735.3529411764706,147.23529411764707,2.9411764705882355
Bronx,Claremont Village,Private room,596.2105263157895,119.23684210526316,3.526315789473684
Bronx,Clason Point,Entire home/apt,490.47058823529414,98.11764705882354,3.6470588235294117
Bronx,Clason Point,Private room,665.3571428571429,133.07142857142858,3.4642857142857144
Bronx,Clason Point,Shared room,442.6666666666667,88.66666666666667,3.3333333333333335
Bronx,Co-op City,Private room,527.6,105.8,4.4
Bronx,Concourse,Entire home/apt,739.1458333333334,147.75,2.75
Bronx,Concourse,Private room,637.2972972972973,127.52702702702703,3.27027027027027
Bronx,Concourse Village,Entire home/apt,576.1666666666666,115.16666666666667,2.7777777777777777
Bronx,Concourse Village,Private room,539.7021276595744,107.91489361702128,3.4893617021276597
Bronx,Concourse Village,Shared room,422.875,84.5,3.875
Bronx,East Morrisania,Entire home/apt,757.0,151.5,2.625
Bronx,East Morrisania,Private room,769.3846153846154,153.69230769230768,3.230769230769231
Bronx,Eastchester,Entire home/apt,665.375,133.0,3.25
Bronx,Eastchester,Private room,681.1111111111111,136.11111111111111,2.7777777777777777
Bronx,Eastchester,Shared room,760.0,152.0,4.0
Bronx,Edenwald,Entire home/apt,624.3571428571429,124.85714285714286,3.7142857142857144
Bronx,Edenwald,Private room,635.578947368421,127.05263157894737,3.1052631578947367
Bronx,Fieldston,Entire home/apt,649.2222222222222,129.66666666666666,3.3333333333333335
Bronx,Fieldston,Private room,723.9333333333333,144.93333333333334,3.466666666666667
Bronx,Fieldston,Shared room,704.0,141.0,2.0
Bronx,Fordham,Entire home/apt,653.6666666666666,130.7037037037037,4.111111111111111
Bronx,Fordham,Private room,624.7203389830509,125.00847457627118,3.0254237288135593
Bronx,Fordham,Shared room,951.2857142857143,190.28571428571428,2.857142857142857
Bronx,Highbridge,Entire home/apt,557.0,111.38888888888889,3.1666666666666665
Bronx,Highbridge,Private room,728.6595744680851,145.70212765957447,3.0638297872340425
Bronx,Hunts Point,Entire home/apt,500.0,100.0,4.25
Bronx,Hunts Point,Private room,617.2340425531914,123.46808510638297,3.0425531914893615
Bronx,Kingsbridge,Entire home/apt,509.44897959183675,101.93877551020408,3.7142857142857144
Bronx,Kingsbridge,Private room,594.256880733945,118.8348623853211,3.2110091743119265
Bronx,Kingsbridge,Shared room,783.6,156.8,2.4
Bronx,Longwood,Entire home/apt,677.1777777777778,135.35555555555555,3.511111111111111
Bronx,Longwood,Private room,669.5,133.95348837209303,3.313953488372093
Bronx,Longwood,Shared room,367.0,73.0,2.0
Bronx,Melrose,Entire home/apt,520.2727272727273,104.0,3.6363636363636362
Bronx,Melrose,Private room,623.25,124.66666666666667,3.5
Bronx,Morris Heights,Entire home/apt,694.0714285714286,138.78571428571428,3.0714285714285716
Bronx,Morris Heights,Private room,788.6,157.83333333333334,3.3333333333333335
Bronx,Morris Heights,Shared room,399.0,80.0,2.0
Bronx,Morris Park,Entire home/apt,722.5714285714286,144.57142857142858,3.0714285714285716
Bronx,Morris Park,Private room,683.5172413793103,136.72413793103448,3.310344827586207
Bronx,Morris Park,Shared room,930.0,186.0,2.0
Bronx,Morrisania,Entire home/apt,571.1666666666666,114.33333333333333,3.2777777777777777
Bronx,Morrisania,Private room,597.7619047619048,119.52380952380952,3.0476190476190474
Bronx,Morrisania,Shared room,466.0,93.2,3.4
Bronx,Mott Haven,Entire home/apt,590.4411764705883,118.04411764705883,3.25
Bronx,Mott Haven,Private room,638.7333333333333,127.76,3.5866666666666664
Bronx,Mott Haven,Shared room,703.0,141.0,3.0
Bronx,Mount Eden,Entire home/apt,576.0,115.0,2.0
Bronx,Mount Eden,Private room,672.4,134.53333333333333,4.066666666666666
Bronx,Mount Hope,Entire home/apt,552.88,110.56,3.08
Bronx,Mount Hope,Private room,689.4137931034483,137.93103448275863,3.4827586206896552
Bronx,North Riverdale,Entire home/apt,778.75,155.66666666666666,3.75
Bronx,North Riverdale,Private room,772.8571428571429,154.64285714285714,3.142857142857143
Bronx,North Riverdale,Shared room,225.0,45.0,2.5
Bronx,Norwood,Entire home/apt,748.7333333333333,149.66666666666666,2.933333333333333
Bronx,Norwood,Private room,619.3050847457627,123.83050847457628,3.0847457627118646
Bronx,Norwood,Shared room,154.0,31.0,5.0
Bronx,Olinville,Entire home/apt,632.6666666666666,126.33333333333333,3.1666666666666665
Bronx,Olinville,Private room,702.2727272727273,140.45454545454547,3.090909090909091
Bronx,Olinville,Shared room,706.2,141.0,3.0
Bronx,Parkchester,Entire home/apt,647.6296296296297,129.4814814814815,3.4444444444444446
Bronx,Parkchester,Private room,658.65,131.66666666666666,3.1333333333333333
Bronx,Parkchester,Shared room,468.8181818181818,93.81818181818181,3.909090909090909
Bronx,Pelham Bay,Entire home/apt,713.6875,142.625,3.4375
Bronx,Pelham Bay,Private room,731.625,146.5,2.75
Bronx,Pelham Bay,Shared room,956.0,191.0,4.0
Bronx,Pelham Gardens,Entire home/apt,644.9,128.925,3.625
Bronx,Pelham Gardens,Private room,572.7741935483871,114.54838709677419,2.903225806451613
Bronx,Pelham Gardens,Shared room,170.0,34.0,3.0
Bronx,Port Morris,Entire home/apt,592.5434782608696,118.6086956521739,3.1739130434782608
Bronx,Port Morris,Private room,613.2083333333334,122.70833333333333,3.5
Bronx,Port Morris,Shared room,516.448275862069,103.24137931034483,3.3793103448275863
Bronx,Riverdale,Entire home/apt,613.7142857142857,122.71428571428571,2.2857142857142856
Bronx,Riverdale,Private room,750.0,150.25,4.0
Bronx,Riverdale,Shared room,1155.0,231.0,4.0
Bronx,Schuylerville,Entire home/apt,747.1538461538462,149.3846153846154,3.769230769230769
Bronx,Schuylerville,Private room,574.4333333333333,114.93333333333334,3.466666666666667
Bronx,Schuylerville,Shared room,1011.0,202.0,3.0
Bronx,Soundview,Entire home/apt,640.5,127.91666666666667,3.5833333333333335
Bronx,Soundview,Private room,599.4761904761905,119.85714285714286,3.2857142857142856
Bronx,Spuyten Duyvil,Entire home/apt,236.75,47.375,2.75
Bronx,Spuyten Duyvil,Private room,747.0,149.0,4.0
Bronx,Throgs Neck,Entire home/apt,690.5454545454545,138.12121212121212,3.303030303030303
Bronx,Throgs Neck,Private room,668.2,133.64,3.56
Bronx,Tremont,Entire home/apt,669.0909090909091,133.8181818181818,3.3636363636363638
Bronx,Tremont,Private room,617.8181818181819,123.63636363636364,3.727272727272727
Bronx,Tremont,Shared room,270.6666666666667,54.0,3.6666666666666665
Bronx,Unionport,Entire home/apt,501.38461538461536,100.23076923076923,3.769230769230769
Bronx,Unionport,Private room,607.75,121.5,3.5
Bronx,University Heights,Entire home/apt,597.6923076923077,119.3076923076923,3.769230769230769
Bronx,University Heights,Private room,623.0975609756098,124.63414634146342,3.2439024390243905
Bronx,University Heights,Shared room,695.0,139.0,3.0
Bronx,Van Nest,Entire home/apt,565.2666666666667,113.0,3.2
Bronx,Van Nest,Private room,658.875,131.75,3.5
Bronx,Van Nest,Shared room,536.6666666666666,107.33333333333333,2.6666666666666665
Bronx,Wakefield,Entire home/apt,608.265625,121.65625,3.15625
Bronx,Wakefield,Private room,637.9431818181819,127.61363636363636,3.4545454545454546
Bronx,Wakefield,Shared room,756.3333333333334,151.0,2.0
Bronx,West Farms,Entire home/apt,650.3333333333334,130.33333333333334,4.333333333333333
Bronx,West Farms,Private room,276.0,55.0,3.6666666666666665
Bronx,Westchester Square,Entire home/apt,652.125,130.5,3.625
Bronx,Westchester Square,Private room,511.2,102.06666666666666,3.6666666666666665
Bronx,Williamsbridge,Entire home/apt,663.1764705882352,132.68627450980392,3.5294117647058822
Bronx,Williamsbridge,Private room,589.6444444444444,118.0,3.511111111111111
Bronx,Woodlawn,Entire home/apt,510.8,102.3,3.6
Bronx,Woodlawn,Private room,618.5294117647059,123.70588235294117,3.176470588235294
